Account,Airdrop,GnoOption,UserOption,Investor,Team,Advisor
0x918a1f8ee8f8f9e0802071929ce5fe9eff60ac8c,1622117402945374150006871,1622117402945374150006871,0,0,0,0
0x647507a70ff598f386cb96ae5046486389368c66,1329834660882587792074332,1329834660882587792074332,0,0,0,0
0xf6a78083ca3e2a662d6dd1703c939c8ace2e268d,306250932769856836211788,306250932769856836211788,0,0,0,0
0x10e4597ff93cbee194f4879f8f1d54a370db6969,24351460589714691449341,24351460589714691449341,0,0,0,0
0x3d37cfa2e89a04b3704bd64bc2c9ab9dcd448b9a,9962887077837954804873,1575579869413370675523,11861551965459160676582,0,0,0
0x2ee8670d2b936985d5fb1ee968810c155d3bb9ca,9949433415547049074284,905850571355442795632,11861551965459160676582,0,0,0
0xca011d01a4b75a36afb5e2b69e0ba8f01c6b500e,9945961843371261733939,0,11861551965459160676582,0,0,0
0x32ae635f5136adb181a442cc890be39263bc13c8,9926609539709162128917,554888877634044775614,11861551965459160676582,0,0,0
0x61804da74d1a559ab06938fc25ee568278798c8a,9901326807936341043219,9901326807936341043219,0,0,0,0
0xa59e113fbef3b4129baef6b5355dff683851afa7,9888538736279755644238,516818074204638290935,11861551965459160676582,0,0,0
0x71e0394aabb1f98a4c21ffd64fe26d5820034ffe,9869086173415079897799,9869086173415079897799,0,0,0,0
0xd6252885122ebe2a61cd8a5795f7bb1bf302c781,9864057116372958785764,492336454297841432461,11861551965459160676582,0,0,0
0x412e1d8c32d9cde0a293c3179f6a7c2b76251ac8,9863481352118706339870,9754933183869045552896,0,0,0,0
0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,9860928297654760217945,1473621089230176088595,11861551965459160676582,0,0,0
0xec80b5494e873fd9a7c7bf2368d743b38eb0b9ea,9836514562889289805681,1449207354464705676331,11861551965459160676582,0,0,0
0x5c4d8cee7de74e31ce69e76276d862180545c307,9834309045006508306801,790726200814902028149,11861551965459160676582,0,0,0
0xddab2bf66703b7b29b4d4ea99a7638d6ad709b8c,9767393315286692070192,723810471095085791540,11861551965459160676582,0,0,0
0x9704f55aa24237625f4a23a0ac2b31a9cf22fab8,9750545051392710387994,1363237842968126258644,11861551965459160676582,0,0,0
0xa7d66ef39f53933d1f9d4b8751006e8b331d4196,9749844579414245390809,9749844579414245390809,0,0,0,0
0x418dfca818040d8c22c851e3f257f64a797b985a,9674303346776856862782,1286996138352272733432,11861551965459160676582,0,0,0
0x33b2a0295a48cac80dd6ba59c6880dcb1a9d2784,9673615936619706573961,630033092428100295309,11861551965459160676582,0,0,0
0x114ee4ee7e6c4bf88c112a1cd1590c82e71ab298,9661455653972536443694,9661455653972536443694,0,0,0,0
0x9fa7fd8d9170f0dda389922e6c956800d5149924,9617824025487750659289,0,11861551965459160676582,0,0,0
0xc98bc7bd62374ac06a05840a0c8800b0e08f609e,9612828916084917609008,9612828916084917609008,0,0,0,0
0x9dfd533c41769a77143587f31b35b632bbf441be,9606086302218146668321,234365640143029315018,11861551965459160676582,0,0,0
0x6283b3648349e34d4c596044c8547675b9c2d5f5,9576627956432252986322,9576627956432252986322,0,0,0,0
0x0000ce08fa224696a819877070bf378e8b131acf,9575809322804821038161,1188502114380236908811,11861551965459160676582,0,0,0
0xfdbe95ec43ca5c77929a1c30e9ee588c28c5c9b4,9552072038519631719496,16282467502758828869,11861551965459160676582,0,0,0
0xc91fe0276c0dac0aa80a9434922ad5497b281d46,9549132704876497795464,505549860684891516812,11861551965459160676582,0,0,0
0x0d703ccd7debd7f6f4b0ffb29d2d710d19b09025,9536105458487874816014,164384796412757462711,11861551965459160676582,0,0,0
0x6cae884c9a873f862ac1f57ef0aaea50225e28d0,9535789571016872890628,0,11861551965459160676582,0,0,0
0xa00c99f5f955552742f1089ded88abdc74e67bac,9535789571016872890627,0,11861551965459160676582,0,0,0
0x79bf225fbfd40f78b1878a6d1eec1bb03df92aeb,9529834094684364677022,158113432609247323719,11861551965459160676582,0,0,0
0x96b0425c29ab7664d80c4754b681f5907172ec7c,9495748349270735307108,1108441140846151177758,11861551965459160676582,0,0,0
0x903fe2471449b812a282041d46e34aaecb57986f,9488732908501332728848,9488732908501332728848,0,0,0,0
0x35217c315324450379074a6d09b469bfc554b2c8,9479025232348236269717,9479025232348236269717,0,0,0,0
0xe1f8afc92644bfe77080d7dcb0f936f578e00f53,9465888385421470949329,9357340217171810162355,0,0,0,0
0x8fd05381267eef20d82536e93848e8a7801aacf8,9453755116545995121965,0,11861551965459160676582,0,0,0
0x9824697f7c12cabada9b57842060931c48dea969,9453755116545995121965,0,11861551965459160676582,0,0,0
0xf0e4d0d6094d6e13f61013a663b56154546b6c4a,9453755116545995121965,0,11861551965459160676582,0,0,0
0xf6210b4bb2fe841630eb50001e688c4bc058b602,9438026492834709777252,66305830759592423949,11861551965459160676582,0,0,0
0x7b3431db5a984c7a7a710175f6119a385070e9ec,9421014212737123199569,1033707004312539070219,11861551965459160676582,0,0,0
0x0d78a4b2657dd319ae1f47ce5e529d03e984cef5,9403301737830045608975,31581075754928255672,11861551965459160676582,0,0,0
0xaea61dcd45cd299a8beb0d42484344fc20624e95,9403301737830045608975,31581075754928255672,11861551965459160676582,0,0,0
0x00670bf160f03492ab83030617e333f039d8e52e,9403274766172081759074,5209621161959789694399,5930775982729580338291,0,0,0
0x2311e27f81ec89c96a7b5bebfe7ca34110b17e00,9371829017837960428826,9371829017837960428826,0,0,0,0
0x03a13b51afedaac32fd63092c0dc75e00536096d,9371720662075117353303,0,11861551965459160676582,0,0,0
0x069cd5f524db80b080c7a01277b081445d22dae7,9371720662075117353303,0,11861551965459160676582,0,0,0
0x0d2be688cb203ee577b6babbf84b933961497128,9371720662075117353303,0,11861551965459160676582,0,0,0
0x0f2759564d91087e26ff9a3c0d7d4b2e1a4f08d4,9371720662075117353303,0,11861551965459160676582,0,0,0
0x1162a2e340c3b6b845e2993ee6807ac67ff4230c,9371720662075117353303,0,11861551965459160676582,0,0,0
0x14b1d324b4a564cd737bcf94f533a8abc81a5635,9371720662075117353303,0,11861551965459160676582,0,0,0
0x1851f57461c0b28f0dc13abbda6f942a4781235b,9371720662075117353303,0,11861551965459160676582,0,0,0
0x18637e9c1f3bbf5d4492d541ce67dcf39f1609a2,9371720662075117353303,0,11861551965459160676582,0,0,0
0x1bc144e8065a523c8d66a38637cd310de5f5b708,9371720662075117353303,0,11861551965459160676582,0,0,0
0x22720ccde7db8141576f844beafcc9c7b7d602aa,9371720662075117353303,0,11861551965459160676582,0,0,0
0x27db050a9bffc75d3209e7c27d780a84ab15a13e,9371720662075117353303,0,11861551965459160676582,0,0,0
0x2be1a753b1c0562c4cf35a24f6f62619961ceb53,9371720662075117353303,0,11861551965459160676582,0,0,0
0x314847eb3ba8d8fb75745cfb4d9a7ede7ff78a2e,9371720662075117353303,0,11861551965459160676582,0,0,0
0x345918ee0f54852ba5060f2a48ac8359051e5acc,9371720662075117353303,0,11861551965459160676582,0,0,0
0x34aaa3d5a73d6f9594326d0422ce69748f09b14f,9371720662075117353303,0,11861551965459160676582,0,0,0
0x3763ee05f03b15a0ddb80dd8ac74a58082e03110,9371720662075117353303,0,11861551965459160676582,0,0,0
0x4291c64ca6524465361912847de6503a4029c88a,9371720662075117353303,0,11861551965459160676582,0,0,0
0x431be6f935fdd4fc32b52a80fb8b8e0afee55564,9371720662075117353303,0,11861551965459160676582,0,0,0
0x45892dfbda3b9ce0513412168a947eca8af21a1b,9371720662075117353303,0,11861551965459160676582,0,0,0
0x497a9a22eb7d089febb86ffa68d4cb07a54b6ed8,9371720662075117353303,0,11861551965459160676582,0,0,0
0x4b68ebd824a228721c2ce86c9826a4e03306bf7d,9371720662075117353303,0,11861551965459160676582,0,0,0
0x50a63bb21398d63eaa493c7b627ba28de1fd008b,9371720662075117353303,0,11861551965459160676582,0,0,0
0x5e177a78f8a160290d537e0fba87ec4e4e46fffd,9371720662075117353303,0,11861551965459160676582,0,0,0
0x5feddf388f844d00ed2774bea879c782405aecb1,9371720662075117353303,0,11861551965459160676582,0,0,0
0x605b3a9ceaaba25448e7838adfd52ce16a0761bf,9371720662075117353303,0,11861551965459160676582,0,0,0
0x618582064c081844cb3562ad7aba857d3bc4f9cc,9371720662075117353303,0,11861551965459160676582,0,0,0
0x6619185a9fe99a5eee13359b899e0d5e18f50dd0,9371720662075117353303,0,11861551965459160676582,0,0,0
0x6f043a127e39c7dd2d1ea47cd2f64c53203f9adf,9371720662075117353303,0,11861551965459160676582,0,0,0
0x77a9ce74e35fc1e40a66a3ab79bd6a7b3b7c74ca,9371720662075117353303,0,11861551965459160676582,0,0,0
0x79555679d8bdb9401ee6da09e4514350f1500271,9371720662075117353303,0,11861551965459160676582,0,0,0
0x79b1a32ec97537486e75d99850bd56ecfa09d643,9371720662075117353303,0,11861551965459160676582,0,0,0
